ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6664,1,2355,-54,4147,29,-3119,-205
6668,1,2307,-2,4102,29,-3116,-201
6624,1,2156,82,4043,23,-3111,-196
6656,1,2045,52,3977,9,-3113,-188
6616,1,2004,-18,3934,7,-3112,-181
6624,1,1943,-7,3933,9,-3114,-180
6580,1,1855,-107,3884,19,-3111,-190
6712,1,1784,-60,3876,299,-3108,-197
6672,1,1669,-13,3819,29,-3106,-202
6664,1,1580,30,3732,26,-3103,-202
6660,1,1498,82,3688,17,-3103,-190
6660,1,1423,70,3723,8,-3103,-185
6624,1,1338,-72,3715,10,-3099,-183
6664,1,1251,-51,3664,13,-3098,-187
6668,1,1164,-44,3637,17,-3096,-200
6664,1,1065,-59,3641,25,-3096,-203
6664,1,911,25,3573,24,-3096,-201
6616,1,844,82,3543,17,-3096,-196
6616,1,758,51,3623,15,-3098,-186
6616,1,685,7,3579,7,-3097,-182
6516,1,605,-29,3583,12,-3096,-181
6624,1,530,-29,3533,15,-3098,-188
6620,1,453,0,3550,18,-3093,-198
6572,1,326,3,3538,22,-3090,-209
6560,1,200,-1,3468,22,-3092,-202
6572,1,145,42,3520,17,-3090,-195
6616,1,85,30,3522,15,-3088,-185
6564,1,13,-37,3543,15,-3090,-183
6584,1,-79,8,3533,17,-3084,-186
6524,1,-176,-5,3540,15,-3085,-196
6588,1,-321,-42,3567,20,-3084,-201
6628,0,-397,-7,3515,21,-3079,-203
6592,0,-456,-14,3567,17,-3082,-193
6624,0,-528,12,3607,18,-3083,-183
6628,0,-642,0,3639,19,-3078,-178
6576,0,-725,-19,3681,21,-3078,-183
6636,0,-799,3,3659,20,-3077,-194
6576,1,-907,-53,3691,18,-3077,-205
6628,1,-1017,-20,3720,19,-3075,-208
6676,1,-1058,20,3731,12,-3073,-203
6668,1,-1160,-6,3727,14,-3074,-191
6632,1,-1222,-31,3812,20,-3070,-181
6672,1,-1294,-20,3843,20,-3068,-180
6680,1,-1399,-68,3891,19,-3068,-187
6668,1,-1505,1,3825,19,-3066,-197
6628,1,-1597,-16,3947,16,-3067,-203
6672,1,-1674,-51,3999,16,-3067,-201
6680,1,-1776,-56,4035,17,-3064,-193
6680,1,-1815,-17,4078,20,-3066,-181
6668,1,-1871,-38,4104,22,-3063,-177
6676,1,-1935,-22,4146,22,-3060,-182
6672,1,-2033,-4,4239,17,-3059,-192
6632,1,-2138,-17,4292,13,-3055,-203
6672,1,-2228,-77,4317,15,-3058,-204
6672,1,-2269,-50,4385,15,-3058,-195
6672,1,-2339,-128,4439,17,-3055,-186
6720,1,-2412,-99,4469,21,-3053,-180
6672,1,-2508,-45,4579,23,-3054,-181
6676,1,-2580,-60,4622,19,-3055,-190
6672,1,-2608,-76,4624,15,-3057,-198
6680,1,-2693,-56,4732,12,-3060,-203
6672,1,-2782,-104,4784,13,-3061,-198
6724,1,-2867,-123,4890,18,-3059,-190
6716,1,-2892,-53,4934,23,-3056,-181
6676,1,-2918,-104,4973,22,-3060,-176
6720,1,-2996,-112,5057,21,-3059,-187
6716,1,-3067,-25,5155,14,-3065,-194
6672,1,-3118,-129,5234,8,-3064,-201
6672,1,-3190,-144,5296,15,-3065,-202
6720,1,-3235,-148,5372,20,-3063,-194
6716,1,-3237,-151,5411,25,-3063,-184
6724,1,-3262,-97,5531,26,-3064,-183
6668,1,-3342,-62,5618,20,-3064,-186
6676,1,-3397,-155,5721,12,-3060,-195
6720,1,-3453,-95,5774,9,-3059,-201
6632,1,-3506,-123,5850,5,-3059,-198
6672,1,-3517,-224,5919,15,-3057,-193
6724,1,-3564,-173,6026,22,-3058,-185
6724,1,-3597,-147,6062,21,-3055,-182
6716,1,-3645,-148,6168,25,-3054,-189
6716,1,-3706,-87,6245,17,-3056,-193
6672,1,-3715,-153,6347,10,-3060,-194
6728,1,-3745,-209,6413,13,-3061,-198
6716,1,-3766,-163,6521,16,-3057,-191
6724,1,-3782,-221,6611,17,-3062,-187
6716,1,-3800,-235,6697,22,-3060,-186
6724,1,-3759,-147,6735,24,-3060,-185
6720,1,-3813,-185,6893,19,-3059,-184
6716,1,-3860,-187,7015,18,-3057,-192
6724,1,-3868,-149,7083,13,-3055,-192
6716,1,-3872,-203,7160,12,-3056,-189
6724,1,-3887,-254,7185,16,-3055,-197
6716,1,-3893,-231,7360,20,-3053,-191
6724,1,-3931,-227,7468,22,-3054,-185
6720,1,-3914,-210,7546,22,-3048,-189
6716,1,-3930,-198,7611,21,-3050,-190
6716,1,-3952,-198,7652,15,-3049,-190
6716,1,-3903,-229,7785,13,-3052,-191
6732,1,-3897,-230,7890,7,-3048,-187
6672,1,-3878,-267,8022,12,-3045,-193
6720,1,-3877,-293,8072,18,-3044,-185
6724,1,-3866,-310,8168,20,-3041,-188
6712,1,-3898,-260,8248,22,-3040,-187
6724,1,-3889,-257,8328,20,-3039,-192
6716,1,-3852,-213,8440,14,-3042,-190
6720,1,-3821,-252,8551,10,-3040,-192
6716,1,-3836,-281,8633,14,-3041,-192
6724,1,-3829,-319,8696,15,-3041,-193
6716,1,-3791,-328,8798,20,-3045,-189
6724,1,-3764,-322,8870,23,-3046,-188
6716,1,-3705,-313,8994,22,-3046,-192
6720,1,-3682,-262,9099,20,-3047,-188
6716,1,-3681,-293,9165,10,-3046,-190
6716,1,-3651,-291,9273,9,-3045,-191
6684,1,-3588,-345,9347,11,-3044,-187
6716,1,-3552,-362,9439,16,-3045,-190
6724,1,-3518,-362,9491,29,-3045,-189
6724,1,-3510,-330,9563,26,-3050,-190
6716,1,-3471,-304,9663,24,-3049,-194
6720,1,-3405,-284,9721,16,-3049,-192
6716,1,-3339,-334,9799,7,-3054,-190
6676,1,-3289,-366,9912,9,-3046,-192
6672,1,-3212,-356,9980,16,-3045,-186
6724,1,-3182,-379,10083,22,-3043,-186
6768,1,-3163,-358,10144,25,-3045,-192
6780,1,-3106,-344,10229,23,-3041,-195
6772,1,-3032,-301,10280,15,-3040,-184
6768,1,-2983,-341,10342,6,-3041,-185
6728,1,-2919,-376,10441,7,-3040,-188
6716,1,-2865,-414,10476,15,-3038,-186
6780,1,-2796,-404,10554,21,-3039,-191
6772,1,-2733,-376,10665,27,-3034,-195
6768,1,-2648,-314,10696,19,-3030,-190
6784,1,-2606,-325,10749,16,-3035,-187
6776,1,-2561,-377,10799,10,-3029,-182
6772,1,-2487,-394,10893,8,-3033,-183
6720,1,-2384,-460,10963,18,-3030,-187
6784,1,-2319,-438,10967,26,-3029,-193
6784,1,-2244,-395,11036,28,-3028,-197
6772,1,-2196,-343,11089,24,-3024,-194
6772,1,-2129,-325,11170,13,-3026,-184
6784,1,-2026,-352,11254,3,-3021,-183
6716,1,-1919,-427,11267,3,-3023,-179
6724,1,-1835,-446,11356,13,-3017,-183
6776,1,-1793,-441,11386,21,-3019,-195
6772,1,-1708,-485,11418,29,-3015,-198
6784,1,-1639,-356,11442,26,-3015,-195
6768,1,-1550,-360,11452,18,-3012,-191
6780,1,-1481,-375,11571,11,-3009,-181
6768,1,-1347,-407,11593,5,-3004,-179
6716,1,-1275,-447,11638,9,-3007,-179
6732,1,-1230,-459,11610,19,-3002,-192
6772,1,-1133,-435,11669,24,-3001,-198
6776,1,-1068,-383,11670,23,-3004,-199
6776,1,-949,-414,11715,19,-2999,-193
6716,1,-911,-387,11772,10,-3002,-183
6720,1,-827,-415,11788,10,-3004,-177
6716,1,-717,-463,11777,12,-3003,-176
6724,1,-629,-428,11797,15,-2999,-184
6724,1,-558,-421,11841,20,-2998,-193
6716,1,-455,-425,11861,24,-2998,-197
6716,1,-352,-423,11872,21,-2993,-194
6720,1,-255,-413,11845,18,-2996,-183
6728,1,-185,-437,11939,14,-2995,-175
6716,1,-104,-414,11930,13,-2991,-174
6724,1,23,-468,11881,14,-2992,-181
6664,1,110,-414,11889,20,-2988,-192
6712,1,156,-407,11901,23,-2984,-199
6716,1,257,-423,11922,17,-2986,-195
6708,1,322,-423,11886,20,-2986,-182
6708,1,435,-413,11920,10,-2985,-177
6712,1,531,-419,11926,10,-2988,-178
6720,1,640,-455,11881,14,-2984,-183
6708,1,714,-393,11871,18,-2983,-192
6716,1,813,-416,11866,17,-2980,-197
6708,1,891,-434,11851,18,-2969,-187
6716,1,988,-397,11877,14,-2964,-179
6716,1,1036,-429,11797,18,-2970,-176
6764,1,1143,-428,11824,21,-2968,-178
